# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
9.418749999999999289e+00 5.431048469387760192e-17 3.421931632653063740e-16 7.069346938775514122e-17 5.838419387755105616e-16 3.859361224489797866e-20 1.694404081632654002e-18
9.480000000000000426e+00 5.305273469387757177e-17 3.345881632653062238e-16 6.913346938775512178e-17 5.711669387755104099e-16 3.655861224489794842e-20 1.591004081632652110e-18
9.734999999999999432e+00 4.885935294117649468e-17 3.086276470588236986e-16 6.387817647058826049e-17 5.282129411764708876e-16 2.808636734693879545e-20 1.160522448979592902e-18
9.862500000000000711e+00 4.688985294117647446e-17 2.963426470588235887e-16 6.140167647058824135e-17 5.079329411764706843e-16 2.565652941176469190e-20 1.036199999999999347e-18
9.926249999999999574e+00 4.590510294117649208e-17 2.902001470588237063e-16 6.016342647058826260e-17 4.977929411764708785e-16 2.456202941176471177e-20 9.801000000000002776e-19
9.990000000000000213e+00 4.492035294117648505e-17 2.840576470588235774e-16 5.892517647058825919e-17 4.876529411764706782e-16 2.346752941176470156e-20 9.239999999999996671e-19
1.024500000000000099e+01 4.154570588235294166e-17 2.635635294117646581e-16 5.472464705882352361e-17 4.533635294117647544e-16 1.908952941176468478e-20 6.995999999999989583e-19
1.037250000000000050e+01 3.992720588235294677e-17 2.538135294117646969e-16 5.271614705882353002e-17 4.369835294117647723e-16 1.779347058823528803e-20 6.330176470588231096e-19
1.043625000000000114e+01 3.911795588235293392e-17 2.489385294117646423e-16 5.171189705882352090e-17 4.287935294117646826e-16 1.720497058823528126e-20 6.027676470588228276e-19
1.050000000000000000e+01 3.830870588235295188e-17 2.440635294117647357e-16 5.070764705882354259e-17 4.206035294117648394e-16 1.661647058823528953e-20 5.725176470588233159e-19
1.080000000000000071e+01 3.546399999999999557e-17 2.262649999999999897e-16 4.706000000000000690e-17 3.907799999999999621e-16 1.398759999999999604e-20 4.374919999999997479e-19
1.094999999999999929e+01 3.413800000000000740e-17 2.178800000000000763e-16 4.534400000000002003e-17 3.767400000000001324e-16 1.330559999999999952e-20 4.029520000000000746e-19
1.102499999999999858e+01 3.347500000000001640e-17 2.136875000000001320e-16 4.448600000000002660e-17 3.697200000000002175e-16 1.296460000000000276e-20 3.856820000000002139e-19
1.109999999999999964e+01 3.281200000000000690e-17 2.094950000000000643e-16 4.362800000000001468e-17 3.627000000000000561e-16 1.262359999999999849e-20 3.684119999999999198e-19
1.139999999999999858e+01 3.045250000000001264e-17 1.943500000000000914e-16 4.052100000000002035e-17 3.368950000000001722e-16 1.129040000000000138e-20 3.019280000000000604e-19
1.154999999999999893e+01 2.930200000000000632e-17 1.869400000000000853e-16 3.900000000000001126e-17 3.242200000000001191e-16 1.076239999999999956e-20 2.803679999999999899e-19
1.162500000000000000e+01 2.872675000000000008e-17 1.832350000000000330e-16 3.823950000000000364e-17 3.178824999999999939e-16 1.049839999999999639e-20 2.695879999999998824e-19
1.169999999999999929e+01 2.815150000000000617e-17 1.795300000000000547e-16 3.747900000000000834e-17 3.115450000000000167e-16 1.023439999999999924e-20 2.588079999999999675e-19
1.200000000000000000e+01 2.614300000000000333e-17 1.669850000000000155e-16 3.482700000000000119e-17 2.894450000000000125e-16 9.211399999999996937e-21 2.171839999999999511e-19
1.215000000000000036e+01 2.516800000000000660e-17 1.609400000000000326e-16 3.354000000000000488e-17 2.787200000000000207e-16 8.848399999999998789e-21 2.031039999999999267e-19
1.222500000000000142e+01 2.468050000000000052e-17 1.579174999999999919e-16 3.289649999999999748e-17 2.733574999999999755e-16 8.666899999999995953e-21 1.960639999999998182e-19
1.230000000000000071e+01 2.419300000000000369e-17 1.548950000000000251e-16 3.225300000000000241e-17 2.679950000000000781e-16 8.485399999999999136e-21 1.890239999999999022e-19
1.265000000000000036e+01 2.249742857142857945e-17 1.438542857142857454e-16 2.998542857142858151e-17 2.490428571428572059e-16 7.711314285714285619e-21 1.591542857142857173e-19
1.282499999999999929e+01 2.169792857142857996e-17 1.385892857142857723e-16 2.891292857142858972e-17 2.400728571428572297e-16 7.447314285714286966e-21 1.492542857142857498e-19
1.291249999999999964e+01 2.129817857142857714e-17 1.359567857142857487e-16 2.837667857142858150e-17 2.355878571428572170e-16 7.315314285714286135e-21 1.443042857142857299e-19
1.300000000000000000e+01 2.089842857142857432e-17 1.333242857142857498e-16 2.784042857142857944e-17 2.311028571428572043e-16 7.183314285714285304e-21 1.393542857142857100e-19
1.334999999999999964e+01 1.950000000000000563e-17 1.244657142857143183e-16 2.596285714285714491e-17 2.158371428571429151e-16 6.670400000000000121e-21 1.206102857142857214e-19
1.352499999999999858e+01 1.881750000000000637e-17 1.201757142857143511e-16 2.504635714285715445e-17 2.084271428571429337e-16 6.439400000000001300e-21 1.130202857142857631e-19
1.361249999999999893e+01 1.847625000000000366e-17 1.180307142857143183e-16 2.458810714285715152e-17 2.047221428571429307e-16 6.323900000000000385e-21 1.092252857142857238e-19
1.369999999999999929e+01 1.813500000000000404e-17 1.158857142857143100e-16 2.412985714285714858e-17 2.010171428571429030e-16 6.208399999999999469e-21 1.054302857142857086e-19
1.405000000000000071e+01 1.693714285714285946e-17 1.083085714285714254e-16 2.253085714285714037e-17 1.875342857142857225e-16 5.766514285714284407e-21 9.095428571428565604e-20
1.422500000000000142e+01 1.635214285714285834e-17 1.046035714285714224e-16 2.175085714285713990e-17 1.809042857142857016e-16 5.579514285714283857e-21 8.490428571428563575e-20
1.431250000000000000e+01 1.605964285714286086e-17 1.027510714285714579e-16 2.136085714285714737e-17 1.775892857142857404e-16 5.486014285714285086e-21 8.187928571428569181e-20
1.440000000000000036e+01 1.576714285714286030e-17 1.008985714285714564e-16 2.097085714285714559e-17 1.742742857142857299e-16 5.392514285714284811e-21 7.885428571428568768e-20
1.475000000000000000e+01 1.473085714285714798e-17 9.415714285714289077e-17 1.961142857142857493e-17 1.626857142857143014e-16 5.028571428571428386e-21 6.710628571428570549e-20
1.492500000000000071e+01 1.422385714285714598e-17 9.084214285714285563e-17 1.894842857142857160e-17 1.570307142857142864e-16 4.863571428571427723e-21 6.182628571428568429e-20
1.501249999999999929e+01 1.397035714285714652e-17 8.918464285714287505e-17 1.861692857142857610e-17 1.542032142857143405e-16 4.781071428571428896e-21 5.918628571428572183e-20
1.509999999999999964e+01 1.371685714285714552e-17 8.752714285714286981e-17 1.828542857142857443e-17 1.513757142857142961e-16 4.698571428571428565e-21 5.654628571428571123e-20
