# k[h/mpc]  pk_dm  pk_gas    
1.359360000000000070e+02 6.027563814092800081e-13 6.027563814092800081e-13
1.445440000000000111e+02 5.088368551526399886e-13 5.088368551526399886e-13
1.536970000000000027e+02 4.294926359592960148e-13 4.294926359592960148e-13
1.634310000000000116e+02 3.624698055229439952e-13 3.624698055229439952e-13
1.737800000000000011e+02 3.058639485009919469e-13 3.058639485009919469e-13
1.847849999999999966e+02 2.580637810687999625e-13 2.580637810687999625e-13
1.964869999999999948e+02 2.177046444769280299e-13 2.177046444769280299e-13
2.089300000000000068e+02 1.836337426595840122e-13 1.836337426595840122e-13
2.221599999999999966e+02 1.548749100810240045e-13 1.548749100810240045e-13
2.362290000000000134e+02 1.306037143470080166e-13 1.306037143470080166e-13
2.511889999999999930e+02 1.101225588162559828e-13 1.101225588162559828e-13
2.670960000000000036e+02 9.284189211852799070e-14 9.284189211852799070e-14
2.840099999999999909e+02 7.826329672089599345e-14 7.826329672089599345e-14
3.019950000000000045e+02 6.596633559039999090e-14 6.596633559039999090e-14
3.211190000000000282e+02 5.559492909465600269e-14 5.559492909465600269e-14
3.414549999999999841e+02 4.684889928499199366e-14 4.684889928499199366e-14
3.630779999999999745e+02 3.947419884584960179e-14 3.947419884584960179e-14
3.860710000000000264e+02 3.325671023575039441e-14 3.325671023575039441e-14
4.105190000000000055e+02 2.801543413759999974e-14 2.801543413759999974e-14
4.365160000000000196e+02 2.359765090959359800e-14 2.359765090959359800e-14
4.641589999999999918e+02 1.987441086955520323e-14 1.987441086955520323e-14
4.935520000000000209e+02 1.673682317475839862e-14 1.673682317475839862e-14
5.248070000000000164e+02 1.409314329722879975e-14 1.409314329722879975e-14
5.580420000000000300e+02 1.186581352284159885e-14 1.186581352284159885e-14
5.933809999999999718e+02 9.989489950720000201e-15 9.989489950720000201e-15
6.309569999999999936e+02 8.409069492633600381e-15 8.409069492633600381e-15
6.709139999999999873e+02 7.077951753420800107e-15 7.077951753420800107e-15
7.133999999999999773e+02 5.957005554483199225e-15 5.957005554483199225e-15
7.585779999999999745e+02 5.013065695232000061e-15 5.013065695232000061e-15
8.066159999999999854e+02 4.218331657666560242e-15 4.218331657666560242e-15
8.576960000000000264e+02 3.549254270320639869e-15 3.549254270320639869e-15
9.120109999999999673e+02 2.986028365250559999e-15 2.986028365250559999e-15
9.697649999999999864e+02 2.511953901649920147e-15 2.511953901649920147e-15
1.031180000000000064e+03 2.112956808560639763e-15 2.112956808560639763e-15
1.096480000000000018e+03 1.777180291891199914e-15 1.777180291891199914e-15
1.165910000000000082e+03 1.494637210501120020e-15 1.494637210501120020e-15
1.239750000000000000e+03 1.256904730869760079e-15 1.256904730869760079e-15
1.318259999999999991e+03 1.056894143692800037e-15 1.056894143692800037e-15
1.401740000000000009e+03 8.886394709606399787e-16 8.886394709606399787e-16
1.490500000000000000e+03 7.471048635187199487e-16 7.471048635187199487e-16
1.584890000000000100e+03 6.280671605555200762e-16 6.280671605555200762e-16
1.685259999999999991e+03 5.279514728857599455e-16 5.279514728857599455e-16
1.791980000000000018e+03 4.437574303088639979e-16 4.437574303088639979e-16
1.905460000000000036e+03 3.729624106270719528e-16 3.729624106270719528e-16
2.026130000000000109e+03 3.134374522388479782e-16 3.134374522388479782e-16
2.154429999999999836e+03 2.633927617413120107e-16 2.633927617413120107e-16
2.290869999999999891e+03 2.213213424844800195e-16 2.213213424844800195e-16
2.435940000000000055e+03 1.859562462248959845e-16 1.859562462248959845e-16
2.590199999999999818e+03 1.562311131135999968e-16 1.562311131135999968e-16
2.754230000000000018e+03 1.312477581148160001e-16 1.312477581148160001e-16
2.928639999999999873e+03 1.102512736174079970e-16 1.102512736174079970e-16
3.114110000000000127e+03 9.260748085657599830e-17 9.260748085657599830e-17
3.311309999999999945e+03 7.778179062169599344e-17 7.778179062169599344e-17
3.521010000000000218e+03 6.532511039487999130e-17 6.532511039487999130e-17
3.743980000000000018e+03 5.485975148953600010e-17 5.485975148953600010e-17
3.981070000000000164e+03 4.606754407055359866e-17 4.606754407055359866e-17
4.233180000000000291e+03 3.868199212810240325e-17 3.868199212810240325e-17
4.501250000000000000e+03 3.247836149841920054e-17 3.247836149841920054e-17
4.786300000000000182e+03 2.726780783820799774e-17 2.726780783820799774e-17
5.089399999999999636e+03 2.289173948006400085e-17 2.289173948006400085e-17
5.411699999999999818e+03 1.921674400235520016e-17 1.921674400235520016e-17
5.754399999999999636e+03 1.613068920422400043e-17 1.613068920422400043e-17
6.118810000000000400e+03 1.353938779504639820e-17 1.353938779504639820e-17
6.506289999999999964e+03 1.136368486973440211e-17 1.136368486973440211e-17
6.918310000000000400e+03 9.537015146086400595e-18 9.537015146086400595e-18
7.356420000000000073e+03 8.003476940390400037e-18 8.003476940390400037e-18
7.822279999999999745e+03 6.716141024051199621e-18 6.716141024051199621e-18
8.317639999999999418e+03 5.635547385036800135e-18 5.635547385036800135e-18
8.844370000000000800e+03 4.728530822758399973e-18 4.728530822758399973e-18
9.404450000000000728e+03 3.967243843010560084e-18 3.967243843010560084e-18
